"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","248","Проверка перехода в ""История заказов"" по клику на «История заказов»","tests","Fri Apr 18 09:21:17 CEST 2025","passed","Fri Apr 18 09:21:18 CEST 2025","TestPersonalAcc","test_personal_account","",""
"","1886","Проверка: клик по кнопке ""показать/скрыть пароль"" делает поле активным на стр. сброса пароля","tests","Fri Apr 18 09:20:47 CEST 2025","passed","Fri Apr 18 09:20:49 CEST 2025","TestPasswordRestoration","test_password_restoration","",""
"","6921","Проверка закрытия окна ""Детали ингредиента"" нажатием на крестик","tests","Fri Apr 18 09:15:29 CEST 2025","passed","Fri Apr 18 09:15:36 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","10698","Проверка отображения заказов пользователя из ""Истории заказов"" на стр ""Лента заказов""","tests","Fri Apr 18 09:17:34 CEST 2025","passed","Fri Apr 18 09:17:45 CEST 2025","TestOrderFeed","test_order_feed","",""
"","10271","Проверка увеличения счётчика ""Выполнено за всё время"" после создания нового заказа","tests","Fri Apr 18 09:18:17 CEST 2025","passed","Fri Apr 18 09:18:28 CEST 2025","TestOrderFeed","test_order_feed","",""
"","939","Проверка перехода на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Fri Apr 18 09:20:10 CEST 2025","passed","Fri Apr 18 09:20:11 CEST 2025","TestPasswordRestoration","test_password_restoration","",""
"","317","Проверка перехода в личный кабинет по клику на «Личный кабинет»","tests","Fri Apr 18 09:21:10 CEST 2025","passed","Fri Apr 18 09:21:11 CEST 2025","TestPersonalAcc","test_personal_account","",""
"","6900","Проверка закрытия окна ""Детали ингредиента"" нажатием на крестик","tests","Fri Apr 18 09:15:47 CEST 2025","passed","Fri Apr 18 09:15:54 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1402","Проверка перехода по клику на ""Лента заказов""","tests","Fri Apr 18 09:14:51 CEST 2025","passed","Fri Apr 18 09:14:52 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1549","Проверка перехода по клику на ""Конструктор""","tests","Fri Apr 18 09:14:45 CEST 2025","passed","Fri Apr 18 09:14:46 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1380","Проверка увеличения счётчика ингредиента при добавлении в заказ","tests","Fri Apr 18 09:16:11 CEST 2025","passed","Fri Apr 18 09:16:13 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1362","Проверка увеличения счётчика ингредиента при добавлении в заказ","tests","Fri Apr 18 09:15:59 CEST 2025","passed","Fri Apr 18 09:16:00 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","420","Проверка перехода в ""История заказов"" по клику на «История заказов»","tests","Fri Apr 18 09:21:32 CEST 2025","passed","Fri Apr 18 09:21:32 CEST 2025","TestPersonalAcc","test_personal_account","",""
"","1446","Проверка перехода на страницу сброса пароля после ввода почты и клика по кнопке «Восстановить»","tests","Fri Apr 18 09:20:15 CEST 2025","passed","Fri Apr 18 09:20:17 CEST 2025","TestPasswordRestoration","test_password_restoration","",""
"","239","Проверка перехода в личный кабинет по клику на «Личный кабинет»","tests","Fri Apr 18 09:20:55 CEST 2025","passed","Fri Apr 18 09:20:55 CEST 2025","TestPersonalAcc","test_personal_account","",""
"","1536","Проверка: клик по кнопке ""показать/скрыть пароль"" делает поле активным на стр. сброса пароля","tests","Fri Apr 18 09:20:34 CEST 2025","passed","Fri Apr 18 09:20:36 CEST 2025","TestPasswordRestoration","test_password_restoration","",""
"","2453","Проверка открытия окна с информацией о заказе при нажатии на заказ","tests","Fri Apr 18 09:16:45 CEST 2025","passed","Fri Apr 18 09:16:47 CEST 2025","TestOrderFeed","test_order_feed","",""
"","11472","Проверка увеличения счётчика ""Выполнено за сегодня"" после создания нового заказа","tests","Fri Apr 18 09:18:34 CEST 2025","passed","Fri Apr 18 09:18:45 CEST 2025","TestOrderFeed","test_order_feed","",""
"","11422","Проверка увеличения счётчика ""Выполнено за всё время"" после создания нового заказа","tests","Fri Apr 18 09:17:51 CEST 2025","passed","Fri Apr 18 09:18:03 CEST 2025","TestOrderFeed","test_order_feed","",""
"","10646","Проверка появления номера нового заказа в разделе ""В работе""","tests","Fri Apr 18 09:19:42 CEST 2025","passed","Fri Apr 18 09:19:53 CEST 2025","TestOrderFeed","test_order_feed","",""
"","1357","Проверка перехода по клику на ""Конструктор""","tests","Fri Apr 18 09:14:32 CEST 2025","passed","Fri Apr 18 09:14:33 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1573","Проверка появления всплывающего окна с деталями ингредиента после клика по ингредиенту","tests","Fri Apr 18 09:15:23 CEST 2025","passed","Fri Apr 18 09:15:25 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1328","Проверка выхода из учетной записи по клику на «Выход»","tests","Fri Apr 18 09:21:55 CEST 2025","passed","Fri Apr 18 09:21:56 CEST 2025","TestPersonalAcc","test_personal_account","",""
"","10498","Проверка появления номера нового заказа в разделе ""В работе""","tests","Fri Apr 18 09:19:17 CEST 2025","passed","Fri Apr 18 09:19:27 CEST 2025","TestOrderFeed","test_order_feed","",""
"","849","Проверка перехода на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Fri Apr 18 09:19:58 CEST 2025","passed","Fri Apr 18 09:19:58 CEST 2025","TestPasswordRestoration","test_password_restoration","",""
"","1546","Проверка перехода на страницу сброса пароля после ввода почты и клика по кнопке «Восстановить»","tests","Fri Apr 18 09:20:28 CEST 2025","passed","Fri Apr 18 09:20:30 CEST 2025","TestPasswordRestoration","test_password_restoration","",""
"","10258","Проверка увеличения счётчика ""Выполнено за сегодня"" после создания нового заказа","tests","Fri Apr 18 09:19:00 CEST 2025","passed","Fri Apr 18 09:19:10 CEST 2025","TestOrderFeed","test_order_feed","",""
"","3388","Проверка создания заказа залогиненным пользователем","tests","Fri Apr 18 09:16:37 CEST 2025","passed","Fri Apr 18 09:16:40 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","2684","Проверка открытия окна с информацией о заказе при нажатии на заказ","tests","Fri Apr 18 09:16:59 CEST 2025","passed","Fri Apr 18 09:17:02 CEST 2025","TestOrderFeed","test_order_feed","",""
"","11458","Проверка отображения заказов пользователя из ""Истории заказов"" на стр ""Лента заказов""","tests","Fri Apr 18 09:17:08 CEST 2025","passed","Fri Apr 18 09:17:19 CEST 2025","TestOrderFeed","test_order_feed","",""
"","3513","Проверка создания заказа залогиненным пользователем","tests","Fri Apr 18 09:16:19 CEST 2025","passed","Fri Apr 18 09:16:22 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1518","Проверка появления всплывающего окна с деталями ингредиента после клика по ингредиенту","tests","Fri Apr 18 09:15:10 CEST 2025","passed","Fri Apr 18 09:15:11 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
"","1260","Проверка выхода из учетной записи по клику на «Выход»","tests","Fri Apr 18 09:21:39 CEST 2025","passed","Fri Apr 18 09:21:40 CEST 2025","TestPersonalAcc","test_personal_account","",""
"","1413","Проверка перехода по клику на ""Лента заказов""","tests","Fri Apr 18 09:15:04 CEST 2025","passed","Fri Apr 18 09:15:05 CEST 2025","TestMainFunctionality","test_base_ui_interactions","",""
